code,country,pub_year,dependent_variable,ndg_time_range,ndg_mean,ndg_mean_raw,gdp_time_range,gdp_mean,gdp_mean_raw,gcri_time_range,gcri_mean,gcri_mean_raw
AFG,Afghanistan,2016,yellow,2006-2015,1.561139823,0.797071321,2006-2015,-0.505084527,513.0673737,1996-2015,-0.538387622,36.17
AGO,Angola,2012,red,2002-2011,0.019793549,0.535691375,2002-2011,-0.368580794,2626.858995,1992-2011,0.119454275,107.67
ATG,Antigua and Barbuda,2016,yellow,2006-2015,-0.467039008,0.453134801,2006-2015,0.505127951,16156.43938,1996-2015,-0.185729162,74.5
BHR,Bahrain,2016,red,2006-2015,-0.947284978,0.371695174,2006-2015,0.969070108,23340.69012,1996-2015,0.278900429,125
BLZ,Belize,2014,green,2004-2013,-0.524295674,0.443425274,2004-2013,-0.17962353,5552.905587,1994-2013,-0.484748206,42
BEN,Benin,2018,yellow,2008-2017,1.258439667,0.745739734,2008-2017,-0.469570243,1063.014203,1998-2017,0.377070682,135.67
BTN,Bhutan,2015,red,2005-2014,1.203967735,0.736502439,2005-2014,-0.396803814,2189.819052,1995-2014,0.024320216,97.33
BOL,Bolivia,2021,yellow,2011-2020,-0.161354238,0.504972516,2011-2020,-0.342899917,3024.53326,2001-2020,-0.501585278,40.17
BWA,Botswana,2010,red,2000-2009,0.280786041,0.579950219,2000-2009,-0.242717962,4575.87382,1990-2009,0.364741896,134.33
BRA,Brazil,2016,yellow,2006-2015,-0.667086793,0.4192109,2006-2015,0.119974749,10192.25366,1996-2015,-0.104487988,83.33
BRN,Brunei Darussalam,2011,red,2001-2010,-1.034615468,0.356885758,2001-2010,1.336660423,29032.91049,1992-2011,0.603957132,160.33
BFA,Burkina Faso,2021,yellow,2011-2020,0.946091773,0.692772093,2011-2020,-0.490742089,735.1633033,2001-2020,0.058086366,101
BDI,Burundi,2019,green,2009-2018,1.409108348,0.771289977,2009-2018,-0.523100785,234.081484,1999-2018,-0.193365648,73.67
CPV,Cabo Verde,2017,yellow,2007-2016,0.118422947,0.552416849,2007-2016,-0.298105526,3718.184694,1997-2016,0.364741896,134.33
KHM,Cambodia,2016,green,2006-2015,0.522155753,0.620881451,2006-2015,-0.469735311,1060.458082,1996-2015,-0.535351429,36.5
CMR,Cameroon,2016,yellow,2006-2015,0.311787007,0.585207331,2006-2015,-0.444756039,1447.267841,1996-2015,0.360141603,133.83
TCD,Chad,2016,yellow,2006-2015,1.229177601,0.740777502,2006-2015,-0.482716581,859.4401497,1996-2015,-0.049284472,89.33
CHL,Chile,2022,green,2012-2021,-1.47644961,0.28195997,2012-2021,0.410463569,14690.5397,2002-2021,-0.12288916,81.33
COL,Colombia,2012,green,2002-2011,-0.25810853,0.488565021,2002-2011,-0.252994525,4416.738884,1992-2011,-0.058485058,88.33
